pop_true,shuffle,session_name
0.8234430742094985,0.45419519194780295,hamilton_01
0.8179827373050056,0.48550309692776655,hamilton_05
0.8908113128852421,0.4826081251892911,hamilton_07
0.8750828172036241,0.4720030205296884,hamilton_08
0.7961936309749026,0.45765467128313436,hamilton_13
0.8912632713744326,0.4544046249467949,hamilton_18
0.8345758731038287,0.46211869083064744,hamilton_20
0.8410719233160033,0.49328697531068355,hamilton_23
0.9163913810268849,0.4916629306454718,hamilton_25
0.9120151666497979,0.45682021373833737,hamilton_26
0.8367681192041552,0.48299087756515274,hamilton_28
0.8608246687005678,0.46606133402430494,hamilton_29
0.8601535389737818,0.4622326073192834,hamilton_30
