dropped,score,session_name
SR,0.9170715056894437,hamilton_01
SIR,0.9194098510762828,hamilton_01
FF,0.9574980556818913,hamilton_01
SR,0.8860502237567278,hamilton_02
SIR,0.9538175472072018,hamilton_02
FF,0.9811341074817088,hamilton_02
SR,0.9314670963215141,hamilton_13
SIR,0.9599476278758651,hamilton_13
FF,0.9671677767355158,hamilton_13
SR,,hamilton_14
SIR,,hamilton_14
FF,,hamilton_14
SR,0.695124605342827,hamilton_23
SIR,0.93109640771701,hamilton_23
FF,0.7083532879692546,hamilton_23
SR,0.8606959724253999,hamilton_07
SIR,0.9569136329727786,hamilton_07
FF,0.9732336363300098,hamilton_07
SR,0.9272217722051334,hamilton_08
SIR,0.5089362818881559,hamilton_08
FF,0.9642821436437978,hamilton_08
SR,0.7816233323339941,hamilton_19
SIR,0.9666610352736626,hamilton_19
FF,0.9894214672726168,hamilton_19
SR,0.6581804241740654,hamilton_20
SIR,0.7981870337535768,hamilton_20
FF,0.9910981369717513,hamilton_20
